f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,treatment,exposure,visit,conversion
0,3,0.951701,0,-1.0,0.840707,2,0.558498,3,3.807583,0.94188,1.841701,0,0,0,0
4,2,2.398287,2,0.263287,0.670641,4,0.07699,1,1.252178,6.051064,0.178593,1,1,0,0
3,2,0.724258,1,0.910943,0.807959,0,0.513348,2,0.905993,-1.0,-1.0,0,0,1,0
2,0,1.32628,0,0.567529,0.53248,0,2.934961,2,0.874976,0.73719,2.274778,0,0,0,0
3,2,0.399999,0,0.201575,-1.0,3,1.075525,2,1.214077,0.386169,2.016041,1,1,1,1
3,1,2.827637,0,0.242969,1.035546,2,1.081565,1,2.65057,2.527274,1.060361,0,0,0,0
0,1,1.337236,2,0.281969,1.015117,3,0.466058,1,3.83952,0.134855,0.307871,0,0,0,0
3,3,7.260967,0,0.943244,0.282918,0,1.395078,0,2.805375,0.668195,-1.0,0,0,0,1
1,0,10.938606,3,0.632577,2.441057,2,5.252259,1,1.59501,0.47323,0.266068,0,0,0,0
3,1,2.145386,0,-1.0,0.575245,2,4.058065,2,1.234617,0.917302,0.874863,1,1,0,0
3,4,1.070821,0,0.675783,0.517543,0,1.441766,-1,-1.0,3.956337,-1.0,0,0,0,0
1,0,0.388266,3,2.111788,0.494689,1,0.425826,-1,0.622218,-1.0,0.654347,0,0,0,0
0,1,2.471314,2,1.428602,0.349074,2,5.854427,2,2.010201,1.363911,2.422507,0,0,0,0
0,4,1.234029,0,2.723367,1.307083,0,2.884186,2,3.235596,-1.0,5.003021,0,0,0,0
1,2,1.712638,3,0.795875,2.447292,0,-1.0,0,2.841428,0.940834,1.478598,0,0,0,0
3,1,5.639455,1,4.965714,0.485299,2,0.172597,2,0.466548,-1.0,0.285542,0,0,0,0
3,0,-1.0,3,1.416345,0.158322,1,0.240405,0,16.69525,1.672406,1.089791,1,1,0,0
0,1,0.396807,2,0.61329,0.358039,3,-1.0,0,5.315039,1.171555,3.871049,0,0,0,0
1,3,0.789444,2,1.097409,0.638722,1,2.463992,2,2.886319,0.13068,0.532096,0,0,1,0
1,2,2.273229,-1,-1.0,-1.0,0,2.405966,1,0.365521,0.410985,0.517979,0,0,0,0
0,1,-1.0,0,0.73625,-1.0,-1,1.405959,0,2.663846,4.941131,-1.0,0,0,0,0
0,0,0.408326,2,1.537218,0.57607,4,0.868964,3,0.099119,0.31129,0.237874,0,0,1,0
1,0,2.130918,1,1.843507,0.984629,0,10.711394,1,0.792778,1.083953,1.219515,1,1,1,0
4,-1,0.300829,0,0.663543,0.233411,3,1.034572,0,1.112565,0.486106,0.53923,0,0,0,0
1,1,0.432687,0,15.392655,1.786241,0,0.916691,0,0.638136,1.81268,-1.0,0,0,0,0
1,2,0.890959,0,0.841804,5.264251,0,0.601951,0,4.871017,-1.0,5.492292,0,0,1,0
2,0,0.574974,2,0.186674,-1.0,0,9.133905,0,-1.0,1.924638,0.618236,0,0,0,0
1,2,2.434788,2,3.364459,0.557639,0,2.056283,3,0.382426,1.466732,1.129293,0,0,0,0
-1,4,-1.0,2,1.835152,1.951611,3,-1.0,1,2.123638,0.677208,2.805196,0,0,0,0
-1,2,5.844851,0,1.260727,-1.0,2,0.3157,3,-1.0,0.107626,0.277444,0,0,1,0
0,0,0.780996,1,0.628185,0.957408,-1,0.186367,0,0.173216,0.420463,-1.0,0,0,0,0
1,2,0.884969,4,1.481932,1.193638,2,0.907765,1,3.811243,0.299305,0.638816,1,1,0,0
1,3,3.354768,1,5.048122,1.979895,1,0.22347,2,1.106596,0.297057,0.277985,0,0,0,0
0,1,0.91309,2,1.223399,2.419052,2,0.311112,2,2.678497,1.654544,0.611185,0,0,1,0
0,3,4.454903,3,0.229918,0.444115,-1,2.910548,2,1.507611,-1.0,1.064157,0,0,0,0
2,2,1.717429,3,0.031639,2.112118,2,2.437557,4,0.714009,0.084994,-1.0,0,0,0,0
1,3,0.095104,1,1.468967,5.293409,3,4.443321,0,1.528439,0.221738,0.472831,0,0,0,1
0,2,-1.0,3,0.373098,2.416165,4,0.229852,1,0.904153,1.261235,0.8057,0,0,0,0
0,0,-1.0,1,-1.0,4.64812,0,0.367027,3,1.33749,0.776147,0.24838,0,0,0,0
4,1,-1.0,3,0.445269,0.075508,2,-1.0,0,1.824416,1.573524,-1.0,0,0,1,0
0,0,0.147936,0,-1.0,1.814317,3,5.155608,0,1.158252,0.954293,0.256148,0,0,0,0
0,4,0.515308,0,0.465206,1.302455,-1,1.064901,0,1.59219,3.734241,0.923782,1,1,0,0
1,3,0.555046,0,0.50922,2.792912,0,-1.0,2,0.689297,1.768861,0.43279,0,0,0,0
-1,2,0.431227,3,2.173277,0.324449,1,1.872818,0,0.564715,2.403576,7.962252,1,1,1,0
0,1,5.708307,1,1.774722,0.602817,2,0.893668,0,2.170237,2.767502,1.466559,0,0,0,0
2,0,0.988301,0,-1.0,2.460924,0,1.775067,1,4.263906,0.303427,0.196661,0,0,0,1
3,3,0.964099,0,0.342414,0.346571,2,0.177394,2,0.596009,1.798906,0.47413,0,0,0,0
0,1,1.736737,4,1.461001,1.274195,0,0.128191,0,1.370488,1.90191,2.018703,0,0,0,0
2,0,1.767033,3,2.864811,-1.0,1,1.295968,1,0.244369,0.710569,1.277106,0,0,0,0
1,2,0.035618,2,2.821141,0.822069,1,1.014506,2,6.078244,-1.0,0.207827,0,0,1,0
2,0,0.523951,2,0.366811,1.773045,1,6.914478,4,3.145665,0.726101,0.455094,1,1,1,0
2,1,-1.0,1,2.689382,0.327751,1,-1.0,2,0.557772,0.415015,1.902733,0,0,0,0
1,1,-1.0,1,0.169268,0.458352,1,1.451289,3,0.702648,0.251472,1.449522,0,0,0,0
0,0,0.749093,4,-1.0,0.870012,0,2.004267,1,3.351014,8.547333,1.779245,1,1,0,0
3,-1,1.015507,0,1.62747,0.300838,0,1.408905,0,1.192347,2.945088,0.755785,1,1,0,0
1,0,-1.0,1,0.12508,3.424385,0,3.001001,1,1.88286,1.026301,0.424612,1,1,0,0
0,0,0.733555,1,8.108046,0.449883,0,0.53133,3,0.372989,0.230519,0.279146,0,0,0,0
0,0,3.049965,1,-1.0,2.195324,2,2.298442,1,1.780532,1.725975,-1.0,0,0,0,0
2,3,4.093701,1,1.90981,-1.0,3,-1.0,3,0.861926,0.694787,-1.0,0,0,0,0
2,1,2.0521,1,0.380972,2.022223,0,3.208663,-1,-1.0,0.85503,1.319173,0,0,0,0
0,2,0.263036,0,0.934164,-1.0,0,0.599797,0,-1.0,-1.0,-1.0,0,0,1,0
1,0,3.523313,1,2.204322,4.090288,2,0.305378,0,0.809795,6.67211,0.449783,0,0,1,0
0,0,2.062672,0,0.325413,3.111587,1,0.533361,0,1.109464,-1.0,0.979362,1,1,0,0
2,1,0.889417,0,0.834874,0.575461,-1,0.345398,1,0.557032,1.440967,0.938984,0,0,0,0
0,3,0.131989,0,2.485276,0.437954,2,0.568373,0,9.662998,1.180071,1.46957,0,0,0,0
2,3,2.595022,3,0.224339,1.580597,1,-1.0,3,0.348268,-1.0,1.080716,0,0,0,0
1,0,0.553128,1,1.394345,0.21738,0,0.401965,0,1.648481,-1.0,16.07182,0,0,0,0
4,1,1.413637,2,0.172947,1.035363,1,1.007804,1,1.353553,1.002899,2.224706,0,0,0,0
0,4,1.070787,2,0.389128,0.445932,0,0.307581,0,2.140242,0.334911,3.666712,0,0,0,0
1,1,-1.0,2,0.603751,0.775451,0,0.929415,4,-1.0,2.82216,1.311051,1,1,0,1
0,3,0.882173,1,1.671223,0.525267,0,0.609435,2,0.185085,-1.0,-1.0,0,0,0,0
4,0,0.985,1,0.496194,0.450063,3,0.885829,4,0.577845,5.160234,1.565674,0,0,0,0
3,4,4.848238,1,1.13377,5.500253,1,1.481949,-1,2.509904,0.46129,-1.0,0,0,0,0
0,3,0.517771,2,0.502968,2.182658,0,0.65821,1,0.767948,1.309552,4.028771,0,0,1,0
2,4,2.257646,1,0.588242,0.227669,2,-1.0,0,0.737267,7.717079,0.934989,0,0,0,0
3,2,0.819865,3,3.492653,-1.0,1,0.519687,0,-1.0,0.508992,0.238067,0,0,0,0
2,1,0.366945,3,0.316565,2.35714,1,2.78187,0,0.431276,0.364437,0.748802,1,1,0,0
1,4,1.001162,0,2.136468,2.634483,0,3.583411,2,1.600089,1.350264,0.234608,1,1,0,0
0,0,1.997118,0,0.998937,-1.0,2,0.597561,0,1.211661,3.206298,3.622396,0,0,0,0
0,1,-1.0,2,0.562393,2.010945,-1,0.856815,0,1.652691,0.51319,1.574383,0,0,1,0
3,2,4.369698,1,0.295962,1.303469,0,-1.0,2,-1.0,6.909189,0.599032,0,0,0,0
4,3,0.744707,0,0.317831,0.143464,0,0.833651,2,0.794392,0.400215,2.1004,0,0,0,0
2,4,0.3726,3,0.477761,0.66818,0,0.234206,2,1.116474,1.931262,4.345479,1,1,0,0
1,0,0.727065,0,0.860661,0.8727,0,-1.0,1,0.373275,0.508311,2.190565,0,0,0,0
1,3,0.306809,4,-1.0,1.049687,1,2.936952,3,0.28574,0.627555,7.386734,1,1,0,0
2,2,0.804619,2,0.740641,0.26698,3,0.222707,1,0.992612,2.276477,-1.0,1,1,0,0
3,0,0.710586,3,0.791907,0.466258,4,0.405753,0,1.108403,0.811218,2.645859,1,1,0,0
3,1,2.069879,0,0.91944,0.536363,0,0.407751,3,-1.0,-1.0,0.232443,0,0,0,0
3,0,0.110147,0,1.610875,0.585274,1,-1.0,-1,1.777757,0.449933,6.645262,0,0,0,0
2,1,0.480173,1,1.905611,0.595117,2,2.369563,0,1.289629,2.057916,-1.0,0,0,0,0
0,-1,0.484074,0,0.249832,0.875787,1,1.31948,1,5.39177,1.48807,0.68834,0,0,0,0
0,2,3.277652,1,0.754217,1.36293,1,6.10345,1,0.731922,2.065902,0.314824,0,0,1,1
3,2,0.328294,1,3.41236,5.895714,0,0.369606,0,0.82726,0.547346,0.58279,0,0,0,0
2,-1,1.2544,0,-1.0,-1.0,1,0.169967,3,1.327436,0.34647,0.771444,1,1,0,0
0,1,0.87974,0,1.077144,-1.0,1,2.56336,0,0.306081,0.440958,1.241309,0,0,0,0
0,3,2.837838,3,0.842953,0.618316,3,0.697092,3,1.989629,0.472201,0.983112,0,0,0,0
2,1,1.81454,0,0.567409,0.366439,3,0.627116,2,1.074059,0.954245,0.530687,0,0,0,0
0,3,1.1289,0,4.907588,2.228715,0,4.384284,2,1.094417,0.30606,3.181818,0,0,1,1
0,0,0.574264,2,1.037523,0.98392,0,1.185023,0,1.720818,2.902048,0.182822,0,0,0,0
1,4,0.156869,-1,4.531917,2.07574,4,2.469945,0,1.456312,1.674885,1.774104,1,1,0,0
2,0,1.280289,1,1.005643,0.41383,1,0.536522,0,1.508385,0.421206,1.204088,0,0,1,0
2,1,1.699765,0,1.584479,1.912817,3,0.484255,0,0.677273,0.819888,0.993032,1,1,0,0
0,3,0.207035,2,0.561456,0.839248,0,0.693938,1,4.804122,0.412007,1.87785,0,0,1,0
2,1,0.291215,4,0.567739,0.630715,1,1.954954,3,0.231736,0.861301,0.512857,0,0,0,0
0,2,1.287021,3,1.505835,0.692979,1,1.052218,1,0.503798,0.433951,0.46313,0,0,0,0
1,1,1.403742,2,1.533722,1.633024,3,1.596735,3,-1.0,8.519312,0.748591,1,1,0,0
2,2,0.371336,1,-1.0,2.168729,0,0.074034,1,0.486423,0.203767,0.590625,1,1,0,0
2,0,0.563231,1,1.457435,-1.0,0,0.15229,3,0.174366,0.280956,0.789008,0,0,0,0
3,0,0.159376,0,0.262785,1.411016,1,-1.0,-1,-1.0,0.788366,2.054486,0,0,0,0
2,0,3.964041,2,0.446476,1.406095,3,0.684344,0,-1.0,1.098267,1.116751,1,1,0,0
2,1,0.272566,2,2.339513,-1.0,4,0.247175,3,0.531874,1.105321,1.030165,0,0,0,0
0,0,1.719888,-1,0.141075,2.682945,-1,5.41761,2,2.008073,-1.0,1.260151,1,1,0,0
1,1,-1.0,0,1.339916,6.117915,-1,0.978842,3,0.851696,1.556608,0.718766,1,1,0,0
0,1,3.631311,0,0.894151,0.628028,0,1.241957,2,0.747517,0.397841,2.468137,0,0,0,0
0,0,0.452823,1,2.338669,4.306002,0,0.336286,1,0.38286,2.892506,1.760305,0,0,0,0
-1,2,1.063168,2,1.516828,1.124203,0,0.325958,0,1.01739,1.87435,1.005574,0,0,0,0
1,3,0.182971,3,0.514798,0.334606,1,4.71731,0,0.531365,4.002207,0.322219,0,0,0,0
3,0,0.143916,0,0.491964,0.521793,3,5.944178,1,0.378256,1.052704,3.703785,0,0,0,0
2,2,1.81545,0,0.592868,1.593543,3,1.515616,-1,2.600214,2.974587,1.943595,0,0,1,0
3,2,0.167793,1,1.786151,2.062174,0,0.131106,2,0.439432,0.065699,1.763176,0,0,0,0
1,1,0.795951,1,-1.0,-1.0,2,0.653457,1,4.073648,0.615291,5.469654,0,0,0,0
2,2,2.74916,3,-1.0,-1.0,4,1.367887,3,0.489362,0.401464,2.004671,1,1,0,0
1,1,-1.0,1,0.413526,0.586773,1,0.796151,3,0.22247,2.017539,0.952614,1,1,1,0
0,1,0.514487,3,1.21026,0.421739,0,0.120012,0,1.690552,0.477316,0.600104,0,0,0,0
2,0,0.204231,2,1.411281,0.152577,1,6.356739,0,0.639688,-1.0,0.577171,0,0,0,0
0,2,1.66445,3,0.189697,-1.0,1,0.43366,0,0.205807,2.197653,1.317463,0,0,0,0
0,2,3.827672,1,0.797027,0.682627,2,-1.0,3,-1.0,0.544767,2.629179,1,1,0,0
2,0,0.515696,3,1.168324,1.286698,1,0.969596,3,0.270926,1.26967,2.658983,0,0,0,0
0,1,0.447843,0,1.091934,1.92627,0,3.268246,0,0.136807,0.806979,0.25146,0,0,0,0
4,-1,0.591613,1,0.884971,0.256062,-1,1.670322,0,1.968037,1.1234,2.520798,0,0,0,0
-1,1,1.771114,0,0.294968,0.260451,1,0.268302,3,4.432638,2.116245,0.743549,0,0,0,0
4,1,3.416162,1,0.343479,0.589825,1,0.227503,4,0.67388,0.721844,0.555233,1,1,0,0
1,4,0.289498,1,0.25207,1.003348,-1,0.11174,3,-1.0,0.190885,1.442032,0,0,0,1
0,2,0.223514,0,1.740279,2.742258,0,0.747064,2,-1.0,1.814124,2.198287,1,1,0,0
4,2,-1.0,-1,0.890857,2.049759,0,0.623073,0,1.948845,2.922588,0.291353,1,1,0,0
1,3,0.837509,0,0.949563,0.692236,3,1.671749,1,0.843915,0.18273,1.242809,0,0,0,0
-1,3,1.287745,3,0.181683,1.433552,0,0.503833,0,0.550938,0.964116,0.197659,0,0,0,0
-1,1,0.500609,-1,0.966956,0.430185,3,2.647743,3,-1.0,0.393872,-1.0,0,0,1,0
3,1,1.632255,0,1.884452,-1.0,0,-1.0,1,1.911742,3.086191,-1.0,0,0,0,0
0,1,2.611855,2,-1.0,0.939485,0,0.482448,3,0.283476,3.262386,1.210153,0,0,0,0
1,-1,1.349584,0,-1.0,4.072684,1,1.478717,1,0.72304,-1.0,0.693202,1,1,0,0
3,2,5.702234,0,0.207973,1.63813,0,3.777159,3,0.82751,0.268309,0.565269,0,0,0,0
1,0,0.721268,1,-1.0,0.46265,3,0.382623,1,0.754128,1.277234,0.135272,1,1,0,0
0,3,0.768832,4,0.406167,0.467407,2,-1.0,1,0.509102,0.329843,-1.0,0,0,0,0
2,1,1.260371,0,-1.0,0.716705,4,0.792321,2,0.263782,2.357874,0.927571,0,0,0,0
4,0,1.591953,2,1.184404,0.2092,3,0.699272,0,-1.0,0.877064,0.394507,0,0,1,0
2,1,1.256019,1,3.638256,0.794517,0,-1.0,4,0.757507,4.980357,-1.0,0,0,0,0
2,1,0.276812,3,0.947358,0.866183,3,2.413511,2,0.623279,5.206701,0.455293,0,0,0,0
0,3,1.366859,0,1.402825,1.594447,2,1.501813,1,1.914262,4.721127,0.757086,0,0,1,0
2,0,0.687857,2,0.57252,1.844347,2,1.431804,3,0.254458,1.496213,0.300676,0,0,1,0
